"nome","resumo","coordenador"
"MONITORIA DE QUI03-09006 - QUÍMICA ORGÂNICA EXPERIMENTAL III","Em breve este conteúdo estará disponível.","Ayres Guimarães Dias "
"AS CORES DA QUÍMICA","Em breve este conteúdo estará disponível.","Daniel Tadeu Gomes Gonzaga "
"USO DA COSMETOLOGIA COMO INSTRUMENTO CONTEXTUALIZADOR E INCENTIVADOR DO PROTAGONISMO JUVENIL","Em breve este conteúdo estará disponível.","Elizabeth Teixeira De Souza "
"MONITORIA DE QUÍMICA GERAL","Em breve este conteúdo estará disponível.","Jaqueline Dias Senra "
"NÚCLEO DE APOIO À ANÁLISE E POPULARIZAÇÃO DA INFORMAÇÃO CIENTÍFICA E TECNOLÓGICA – N@PIN","Em breve este conteúdo estará disponível.","Jaqueline Dias Senra "
"MONITORIA QUÍMICA ORGÂNICA EXPERIMENTAL I","Em breve este conteúdo estará disponível.","Jorge Luiz De Oliveira Domingos "
"CONTROLE DE QUALIDADE DE FRAUDES EM ALIMENTOS USANDO MODELOS QUIMIOMÉTRICOS E INSTRUMENTOS PORTÁTEIS","Em breve este conteúdo estará disponível.","José Licarion Pinto Segundo Neto "
"MONITORIA PARA A DISCIPLINA DE QUÍMICA INORGÂNICA EXPERIMENTAL I: UMA APRENDIZAGEM EXPERIENCIAL","Em breve este conteúdo estará disponível.","Leonardo Aparecido De Souza "
"A MONITORIA DE QUÍMICA INORGÂNICA TEÓRICA COMO UM RECURSO NA MELHORIA DO ENSINO-APRENDIZAGEM","Em breve este conteúdo estará disponível.","Leonardo Aparecido De Souza "
"CLASSIFICAÇÃO DE RISCOS DE PRODUTOS QUÍMICOS E GERENCIAMENTO DE RESÍDUOS NO LABORATÓRIO QUÍMICO","Em breve este conteúdo estará disponível.","Maria Iaponeide Fernandes Macêdo "
"SEGURANÇA NO LABORATÓRIO QUÍMICO: UM CASO DE INCÊNDIO","Em breve este conteúdo estará disponível.","Maria Iaponeide Fernandes Macêdo "
"A IMPORTÂNCIA DA MONITORIA NA DISCIPLINA DE QUÍMICA GERAL NO CURSO DE ENGENHARIA DE PRODUÇÃO.","Em breve este conteúdo estará disponível.","Maria Iaponeide Fernandes Macêdo "
"MONITORIA DE QUÍMICA GERAL EXPERIMENTAL COMO RECURSO NO PROCESSO ENSINO APRENDIZAGEM","Em breve este conteúdo estará disponível.","Maria Iaponeide Fernandes Macêdo "
"MONITORIA DE QUÍMICA GERAL E ACOMPANHAMENTO DOS ALUNOS DA ENGENHARIA DE PRODUÇÃO","Em breve este conteúdo estará disponível.","Maria Iaponeide Fernandes Macêdo "
"OPERACIONALIZAÇÃO DA UNIDADE QUÍMICA NO LABORATÓRIO DE PESQUISA EM BIOTECNOLOGIA AMBIENTAL","Em breve este conteúdo estará disponível.","Maria Rita Guinancio Coelho "
"ELABORAÇÃO DE MATERIAIS DIDÁTICOS NO ENSINO DE QUÍMICA VISANDO ACESSIBILIDADE AOS ESTUDANTES COM NEE","Em breve este conteúdo estará disponível.","Monique Gonçalves "
"PROJETO DE MONITORIA – QUÍMICA GERAL EXPERIMENTAL I","Em breve este conteúdo estará disponível.","Renata Fernandes Braga Cordeiro "
"PROJETO DE MONITORIA – INTRODUÇÃO AO LABORATÓRIO DE QUÍMICA GERAL","Em breve este conteúdo estará disponível.","Renata Fernandes Braga Cordeiro "
"IMPLEMENTAÇÃO DA METODOLOGIA PEER INSTRUCTION (PI) NO ENSINO DE QUÍMICA","Em breve este conteúdo estará disponível.","Renata Fernandes Braga Cordeiro "
"CAPACITAÇÃO TÉCNICO-CIENTÍFICA ATRAVÉS DA PREPARAÇÃO E ANÁLISE DE AMOSTRAS BIOLÓGICAS POR LC-MS","Em breve este conteúdo estará disponível.","Ulisses Cesar De Araujo "
